name,conf,dlpno,b3lypd3,pm7hof,pm7,gfn,gfn2,mmff
CHG_jobs/astex_1gm8,rmsd176-pm7,nan,4591.598744,-204.687630,4403.903298,7003.84,8118.1,90.331700
CHG_jobs/astex_1gm8,rmsd176-opt,4404.18965939,4603.627724,-204.687490,4403.903298,7003.84,8118.1,90.342136
CHG_jobs/astex_1gm8,rmsd35-mmff,nan,4586.477277,-186.962010,4386.473594,6994.81,8109.14,75.442118
CHG_jobs/astex_1gm8,rmsd35-pm7,nan,4593.040657,-204.828970,4403.772085,7003.93,8118.75,89.515700
CHG_jobs/astex_1gm8,rmsd35-opt,4405.21722189,4603.715763,-204.829020,4403.772315,7003.94,8118.76,89.513857
CHG_jobs/astex_1gm8,rmsd48-mmff,nan,4586.551835,-187.013310,4384.994042,6995.18,8108.43,76.403215
CHG_jobs/astex_1gm8,rmsd48-pm7,nan,4592.656244,-204.878490,4403.760093,7003.89,8118.5,89.845951
CHG_jobs/astex_1gm8,rmsd48-opt,4404.96218886,4603.622121,-204.878410,4403.760324,7003.89,8118.5,89.837608
CHG_jobs/astex_1hnn,rmsd1-mmff,nan,2626.975400,100.563430,2521.30429,3852.36,4530.3,-44.925938
CHG_jobs/astex_1hnn,rmsd1-pm7,nan,2623.752654,93.186830,2528.649242,3847.03,4527.79,-38.756202
CHG_jobs/astex_1hnn,rmsd1-opt,2533.7170657,2629.321172,93.186830,2528.649242,3847.03,4527.8,-38.763472
CHG_jobs/astex_1hnn,rmsd2-mmff,nan,2625.772465,102.160170,2519.686145,3850.77,4528.56,-43.349692
CHG_jobs/astex_1hnn,rmsd2-pm7,nan,2622.711741,94.177710,2527.63228,3845.44,4526.19,-36.615726
CHG_jobs/astex_1hnn,rmsd2-opt,2532.6249381,2628.393528,94.177740,2527.63228,3845.42,4526.18,-36.611449
CHG_jobs/astex_1hnn,rmsd3-mmff,nan,2628.482650,100.010200,2521.80493,3852.47,4530.88,-46.018835
CHG_jobs/astex_1hnn,rmsd3-pm7,nan,2625.448913,92.338700,2529.428912,3846.94,4528.01,-38.955722
CHG_jobs/astex_1hnn,rmsd3-opt,2535.04555667,2631.080510,92.338640,2529.429143,3846.93,4528.0,-38.956451
CHG_jobs/astex_1hnn,rmsd4-mmff,nan,2628.612304,99.899860,2521.914005,3852.62,4531.05,-46.097003
CHG_jobs/astex_1hnn,rmsd4-pm7,nan,2625.550214,92.211810,2529.550901,3847.08,4528.13,-39.036207
CHG_jobs/astex_1hnn,rmsd4-opt,2535.08136779,2631.191582,92.211970,2529.550671,3847.07,4528.12,-39.030606
CHG_jobs/astex_1hnn,rmsd5-mmff,nan,2628.664955,99.995380,2521.806313,3852.48,4530.92,-46.003509
CHG_jobs/astex_1hnn,rmsd5-pm7,nan,2625.475873,92.270610,2529.47019,3846.68,4527.74,-39.059813
CHG_jobs/astex_1hnn,rmsd5-opt,2534.81168735,2630.906754,92.270480,2529.47019,3846.67,4527.73,-39.053785
CHG_jobs/astex_1hnn,rmsd6-mmff,nan,2628.717526,99.974320,2521.827298,3852.49,4530.94,-46.011948
CHG_jobs/astex_1hnn,rmsd6-pm7,nan,2625.620576,92.266900,2529.483104,3846.92,4528.04,-39.404465
CHG_jobs/astex_1hnn,rmsd6-opt,2534.99405613,2630.937791,92.267270,2529.482643,3846.9,4528.01,-39.387367
CHG_jobs/astex_1hnn,rmsd7-mmff,nan,2628.937898,99.799520,2522.00371,3852.71,4531.18,-46.143049
CHG_jobs/astex_1hnn,rmsd7-pm7,nan,2625.768990,92.101560,2529.644296,3847.07,4528.18,-39.422080
CHG_jobs/astex_1hnn,rmsd7-opt,2535.10255485,2631.003185,92.101590,2529.644296,3847.08,4528.19,-39.427661
CHG_jobs/astex_1hnn,rmsd8-mmff,nan,2628.855373,99.861170,2521.939602,3852.65,4531.13,-46.092689
CHG_jobs/astex_1hnn,rmsd8-pm7,nan,2625.770935,92.074310,2529.674966,3847.11,4528.13,-39.251297
CHG_jobs/astex_1hnn,rmsd8-opt,2535.20210308,2631.075589,92.074400,2529.674966,3847.1,4528.12,-39.240096
CHG_jobs/astex_1ia1,rmsd1-mmff,nan,3562.141424,235.964570,3343.544821,5037.45,6305.11,-52.390830
CHG_jobs/astex_1ia1,rmsd2-mmff,nan,3565.206941,233.871210,3345.879682,5040.09,6308.76,-63.801512
CHG_jobs/astex_1ia1,rmsd2-pm7,nan,3576.121477,212.522960,3367.484462,5047.26,6318.33,-48.034492
CHG_jobs/astex_1ia1,rmsd2-opt,3398.39479151,3580.222082,212.523650,3367.48377,5047.27,6318.35,-48.051755
CHG_jobs/astex_1ia1,rmsd40-mmff,nan,3563.906948,234.848550,3344.857877,5038.98,6307.6,-64.541927
CHG_jobs/astex_1ia1,rmsd40-pm7,nan,3575.361273,212.626100,3367.5066,5047.04,6318.36,-45.479677
CHG_jobs/astex_1ia1,rmsd40-opt,3397.57686632,3580.307791,212.626250,3367.50637,5047.03,6318.35,-45.460028
CHG_jobs/astex_1ia1,rmsd41-mmff,nan,3563.986301,234.796370,3344.920371,5038.94,6307.64,-64.592220
CHG_jobs/astex_1ia1,rmsd41-pm7,nan,3575.420267,212.607550,3367.508214,5047.15,6318.4,-45.521658
CHG_jobs/astex_1ia1,rmsd41-opt,3397.59084014,3580.413058,212.607930,3367.507984,5047.15,6318.4,-45.512246
CHG_jobs/astex_1ia1,rmsd42-mmff,nan,3564.036437,234.736680,3344.984018,5038.91,6307.66,-64.610852
CHG_jobs/astex_1ia1,rmsd42-pm7,nan,3576.003089,212.592230,3367.351635,5047.18,6318.2,-48.615564
CHG_jobs/astex_1ia1,rmsd42-opt,3398.33104704,3579.647305,212.592090,3367.352096,5047.18,6318.2,-48.614536
CHG_jobs/astex_1ia1,rmsd43-mmff,nan,3565.675532,233.695190,3346.109824,5040.19,6308.95,-63.729806
CHG_jobs/astex_1ia1,rmsd43-pm7,nan,3575.916227,212.673050,3367.314507,5046.95,6317.92,-49.066645
CHG_jobs/astex_1ia1,rmsd43-opt,3398.18488405,3579.514752,212.673120,3367.314277,5046.95,6317.91,-49.054736
CHG_jobs/astex_1ia1,rmsd44-mmff,nan,3565.545127,233.740250,3346.046869,5040.19,6308.94,-63.769478
CHG_jobs/astex_1ia1,rmsd44-pm7,nan,3576.057146,212.601290,3367.339182,5047.22,6318.23,-48.727380
CHG_jobs/astex_1ia1,rmsd44-opt,3398.34746254,3579.635390,212.601530,3367.338951,5047.23,6318.23,-48.715596
CHG_jobs/astex_1ia1,rmsd46-mmff,nan,3566.392996,234.161740,3346.037645,5041.48,6310.55,-61.777560
CHG_jobs/astex_1ia1,rmsd46-pm7,nan,3575.497734,212.566910,3367.52574,5047.28,6318.34,-45.866522
CHG_jobs/astex_1ia1,rmsd46-opt,3397.63655006,3579.997232,212.567060,3367.52574,5047.27,6318.34,-45.853204
CHG_jobs/astex_1ia1,rmsd47-mmff,nan,3564.934767,234.710270,3345.357826,5040.61,6309.6,-62.939996
CHG_jobs/astex_1ia1,rmsd47-pm7,nan,3575.453286,212.604990,3367.53335,5047.11,6318.38,-45.750772
CHG_jobs/astex_1ia1,rmsd47-opt,3397.68686424,3580.334899,212.604980,3367.53335,5047.11,6318.37,-45.743277
CHG_jobs/astex_1ia1,rmsd48-mmff,nan,3564.463355,234.729910,3345.183028,5040.0,6308.89,-63.806995
CHG_jobs/astex_1ia1,rmsd48-pm7,nan,3575.061667,212.744640,3367.399831,5046.72,6318.13,-44.883175
CHG_jobs/astex_1ia1,rmsd48-opt,3397.55021318,3580.384779,212.744970,3367.399831,5046.71,6318.12,-44.878592
CHG_jobs/astex_1ia1,rmsd49-mmff,nan,3564.230374,234.765050,3345.074645,5039.69,6308.51,-64.118549
CHG_jobs/astex_1ia1,rmsd49-pm7,nan,3575.436172,212.619010,3367.494148,5046.89,6318.22,-45.392974
CHG_jobs/astex_1ia1,rmsd49-opt,3397.96929346,3580.443662,212.619180,3367.493917,5046.89,6318.22,-45.396373
CHG_jobs/astex_1ig3,rmsd1-mmff,nan,3555.252031,156.824700,3349.285695,5113.67,6137.24,-28.844193
CHG_jobs/astex_1ig3,rmsd121-mmff,nan,3556.928568,154.499440,3351.549069,5113.74,6137.69,153.886193
CHG_jobs/astex_1ig3,rmsd121-pm7,nan,3559.326202,140.064370,3366.247505,5111.79,6138.47,161.304940
CHG_jobs/astex_1ig3,rmsd121-opt,3404.59824213,3564.660609,140.064540,3366.247736,5111.79,6138.48,161.283738
CHG_jobs/astex_1ig3,rmsd152-mmff,nan,3556.603462,153.790630,3352.325049,5114.29,6137.63,150.591477
CHG_jobs/astex_1ig3,rmsd152-pm7,nan,3559.618222,139.904390,3366.458046,5111.61,6137.97,155.901820
CHG_jobs/astex_1ig3,rmsd152-opt,3404.96138943,3564.995794,139.904300,3366.458277,5111.61,6137.97,155.899176
CHG_jobs/astex_1ig3,rmsd167-mmff,nan,3555.079157,156.019450,3350.246851,5112.92,6135.92,150.088445
CHG_jobs/astex_1ig3,rmsd167-pm7,nan,3559.350546,139.825380,3366.445132,5111.82,6138.27,159.308416
CHG_jobs/astex_1ig3,rmsd167-opt,3404.53808248,3565.125990,139.825430,3366.444902,5111.82,6138.27,159.316780
CHG_jobs/astex_1ig3,rmsd171-mmff,nan,3551.461794,159.497630,3345.732556,5108.91,6133.42,155.211193
CHG_jobs/astex_1ig3,rmsd171-pm7,nan,3559.451617,139.932830,3366.267337,5111.42,6137.67,155.477162
CHG_jobs/astex_1ig3,rmsd171-opt,3405.0990052,3565.152805,139.933010,3366.267568,5111.41,6137.67,155.481665
CHG_jobs/astex_1ig3,rmsd182-mmff,nan,3551.283096,157.801530,3348.511098,5111.7,6135.08,150.019301
CHG_jobs/astex_1ig3,rmsd182-pm7,nan,3559.028814,140.207440,3366.298699,5111.73,6138.3,157.305590
CHG_jobs/astex_1ig3,rmsd182-opt,3404.76439715,3564.490163,140.207590,3366.298468,5111.73,6138.31,157.304308
CHG_jobs/astex_1ig3,rmsd197-mmff,nan,3555.791893,155.705210,3350.009098,5112.98,6136.89,154.217796
CHG_jobs/astex_1ig3,rmsd197-pm7,nan,3559.734927,139.880080,3366.472805,5111.89,6138.42,158.775093
CHG_jobs/astex_1ig3,rmsd197-opt,3405.1595899,3564.958803,139.880180,3366.472805,5111.88,6138.4,158.754659
CHG_jobs/astex_1ig3,rmsd222-mmff,nan,3549.097887,161.315580,3344.54541,5106.13,6130.44,151.544859
CHG_jobs/astex_1ig3,rmsd222-pm7,nan,3559.556344,139.811560,3366.316225,5111.64,6138.0,155.959909
CHG_jobs/astex_1ig3,rmsd222-opt,3405.01495424,3564.787392,139.811580,3366.315994,5111.65,6138.01,155.965184
CHG_jobs/astex_1ig3,rmsd24-mmff,nan,3547.590384,160.674580,3345.80635,5107.1,6131.58,149.104656
CHG_jobs/astex_1ig3,rmsd24-pm7,nan,3558.883526,140.156440,3366.241279,5111.21,6137.34,151.423155
CHG_jobs/astex_1ig3,rmsd24-opt,3404.87955467,3564.781996,140.156400,3366.241279,5111.21,6137.35,151.433398
CHG_jobs/astex_1ig3,rmsd242-mmff,nan,3555.949095,155.003840,3349.852749,5112.66,6136.15,149.303810
CHG_jobs/astex_1ig3,rmsd242-pm7,nan,3558.903941,140.023240,3366.258343,5111.47,6138.13,160.633962
CHG_jobs/astex_1ig3,rmsd242-opt,3404.25328303,3564.975378,140.023320,3366.258343,5111.49,6138.15,160.616910
CHG_jobs/astex_1ig3,rmsd37-mmff,nan,3551.793019,157.347840,3348.829561,5112.19,6135.03,-27.525889
CHG_jobs/astex_1ig3,rmsd56-mmff,nan,3556.792350,154.468050,3351.566133,5113.5,6137.75,154.115709
CHG_jobs/astex_1ig3,rmsd56-pm7,nan,3559.416476,139.852740,3366.407774,5111.69,6138.25,158.663836
CHG_jobs/astex_1ig3,rmsd56-opt,3404.70672402,3565.102693,139.852800,3366.407774,5111.71,6138.26,158.684126
CHG_jobs/astex_1j3j,rmsd1-mmff,nan,3276.190257,189.171370,3064.004491,4616.72,5722.12,-61.973536
CHG_jobs/astex_1j3j,rmsd1-pm7,nan,3284.557307,168.371270,3084.865806,4621.0,5729.14,-48.797234
CHG_jobs/astex_1j3j,rmsd1-opt,3132.03559704,3289.820169,168.371550,3084.865345,4620.99,5729.13,-48.793395
CHG_jobs/astex_1j3j,rmsd12-mmff,nan,3276.179558,189.156210,3064.022709,4616.71,5722.1,-61.947694
CHG_jobs/astex_1j3j,rmsd12-pm7,nan,3284.654417,168.198850,3084.932912,4621.06,5729.24,-48.981142
CHG_jobs/astex_1j3j,rmsd12-opt,3132.14887602,3289.920286,168.199090,3084.932681,4621.07,5729.25,-48.985342
CHG_jobs/astex_1j3j,rmsd13-mmff,nan,3276.207104,189.165570,3064.005875,4616.74,5722.14,-61.992920
CHG_jobs/astex_1j3j,rmsd13-pm7,nan,3284.662837,168.204850,3084.950207,4621.08,5729.28,-49.085492
CHG_jobs/astex_1j3j,rmsd13-opt,3132.15773421,3289.923381,168.204910,3084.950207,4621.08,5729.28,-49.085368
CHG_jobs/astex_1j3j,rmsd15-mmff,nan,3276.336037,189.247770,3064.003799,4616.84,5722.18,-61.962940
CHG_jobs/astex_1j3j,rmsd15-pm7,nan,3284.530469,168.383390,3084.848741,4620.93,5729.1,-48.741980
CHG_jobs/astex_1j3j,rmsd15-opt,3131.93051234,3289.838498,168.383450,3084.848511,4620.93,5729.1,-48.746923
CHG_jobs/astex_1j3j,rmsd2-mmff,nan,3276.222948,189.152070,3064.025245,4616.72,5722.11,-61.940621
CHG_jobs/astex_1j3j,rmsd2-pm7,nan,3284.462696,168.220240,3084.847358,4621.06,5729.24,-48.563214
CHG_jobs/astex_1j3j,rmsd2-opt,3131.98748404,3289.918058,168.220430,3084.847127,4621.06,5729.24,-48.560108
CHG_jobs/astex_1j3j,rmsd3-mmff,nan,3276.286560,189.248560,3063.999187,4616.83,5722.17,-61.974558
CHG_jobs/astex_1j3j,rmsd3-pm7,nan,3284.503900,168.373850,3084.8635,4620.95,5729.11,-48.752688
CHG_jobs/astex_1j3j,rmsd3-opt,3131.95962788,3289.862634,168.373630,3084.863731,4620.96,5729.11,-48.770501
CHG_jobs/astex_1j3j,rmsd4-mmff,nan,3276.318233,189.352700,3063.776424,4616.79,5722.19,-62.008567
CHG_jobs/astex_1j3j,rmsd4-pm7,nan,3284.641893,168.228060,3084.93591,4621.06,5729.27,-49.004271
CHG_jobs/astex_1j3j,rmsd4-opt,3132.2405434,3289.901009,168.228080,3084.93591,4621.05,5729.26,-48.995837
CHG_jobs/astex_1j3j,rmsd7-mmff,nan,3276.360546,189.392190,3063.732148,4616.8,5722.2,-62.000325
CHG_jobs/astex_1j3j,rmsd7-pm7,nan,3284.502709,168.237330,3084.839287,4621.05,5729.21,-48.555309
CHG_jobs/astex_1j3j,rmsd7-opt,3132.00971573,3289.864142,168.237460,3084.839056,4621.05,5729.21,-48.562099
CHG_jobs/astex_1j3j,rmsd8-mmff,nan,3276.326204,189.345870,3063.785648,4616.79,5722.2,-62.007752
CHG_jobs/astex_1j3j,rmsd8-pm7,nan,3284.712306,168.235680,3084.93983,4621.07,5729.26,-49.079886
CHG_jobs/astex_1j3j,rmsd8-opt,3132.19729025,3289.908742,168.235780,3084.93983,4621.06,5729.25,-49.078494
CHG_jobs/astex_1j3j,rmsd9-mmff,nan,3276.330011,189.255470,3063.994345,4616.84,5722.18,-61.966356
CHG_jobs/astex_1j3j,rmsd9-pm7,nan,3284.663579,168.210260,3084.955972,4621.06,5729.25,-49.082864
CHG_jobs/astex_1j3j,rmsd9-opt,3132.16452333,3289.918629,168.210290,3084.956203,4621.06,5729.25,-49.078988
CHG_jobs/astex_1jd0,rmsd1-mmff,nan,1798.984009,-73.211060,1777.082457,3079.23,3462.48,14.201248
CHG_jobs/astex_1jd0,rmsd12-mmff,nan,1798.964627,-73.202470,1777.073694,3079.23,3462.47,6465.710608
CHG_jobs/astex_1jd0,rmsd12-pm7,nan,1770.723059,-109.574350,1813.302657,3059.06,3457.44,168.156768
CHG_jobs/astex_1jd0,rmsd12-opt,1703.5968888,1812.843316,-109.574340,1813.302657,3059.08,3457.45,168.165498
CHG_jobs/astex_1jd0,rmsd18-mmff,nan,1797.423276,-73.696550,1777.485321,3080.08,3462.44,6266.467888
CHG_jobs/astex_1jd0,rmsd18-pm7,nan,1770.653099,-109.573050,1813.301042,3059.03,3457.42,168.171136
CHG_jobs/astex_1jd0,rmsd18-opt,1703.52324602,1810.788150,-109.573000,1813.301042,3059.02,3457.41,168.206351
CHG_jobs/astex_1jd0,rmsd19-mmff,nan,1798.971589,-73.175040,1777.048097,3079.23,3462.43,6924.263891
CHG_jobs/astex_1jd0,rmsd19-pm7,nan,1770.697198,-109.574950,1813.303349,3059.06,3457.47,168.114422
CHG_jobs/astex_1jd0,rmsd19-opt,1703.5537744,1811.433670,-109.574880,1813.303349,3059.05,3457.46,168.135677
CHG_jobs/astex_1jd0,rmsd22-mmff,nan,1797.412328,-73.693000,1777.481631,3080.08,3462.44,6288.866607
CHG_jobs/astex_1jd0,rmsd22-pm7,nan,1770.778131,-109.564530,1813.29251,3059.15,3457.46,168.334140
CHG_jobs/astex_1jd0,rmsd22-opt,1703.64586579,1811.769393,-109.564470,1813.29251,3059.17,3457.48,168.376363
CHG_jobs/astex_1jd0,rmsd3-mmff,nan,1797.387749,-73.704090,1777.4927,3080.09,3462.45,6282.426121
CHG_jobs/astex_1jd0,rmsd3-pm7,nan,1770.679494,-109.574330,1813.302657,3059.04,3457.42,168.108674
CHG_jobs/astex_1jd0,rmsd3-opt,1703.53392766,1810.597191,-109.574320,1813.302426,3059.05,3457.43,168.147124
CHG_jobs/astex_1jd0,rmsd44-mmff,nan,1797.448953,-73.699930,1777.48855,3080.09,3462.45,6304.652052
CHG_jobs/astex_1jd0,rmsd44-pm7,nan,1770.703518,-109.573190,1813.301504,3059.09,3457.45,168.181472
CHG_jobs/astex_1jd0,rmsd44-opt,1703.57076011,1811.281250,-109.573140,1813.301273,3059.09,3457.44,168.229451
CHG_jobs/astex_1jd0,rmsd47-mmff,nan,1797.399839,-73.693520,1777.482093,3080.08,3462.44,6298.568170
CHG_jobs/astex_1jd0,rmsd47-pm7,nan,1770.520684,-109.548030,1813.27706,3058.89,3457.42,167.968084
CHG_jobs/astex_1jd0,rmsd47-opt,1703.44599834,1806.736744,-109.547970,1813.276829,3058.88,3457.42,167.934245
CHG_jobs/astex_1jd0,rmsd5-mmff,nan,1795.549174,-71.712330,1775.511816,3080.35,3462.2,3.583633
CHG_jobs/astex_1jd0,rmsd54-mmff,nan,1797.396418,-73.691040,1777.479325,3080.1,3462.45,6418.745522
CHG_jobs/astex_1jd0,rmsd54-pm7,nan,1770.683799,-109.543310,1813.271295,3059.08,3457.42,168.220172
CHG_jobs/astex_1jd0,rmsd54-opt,1703.54028943,1803.638697,-109.543330,1813.271295,3059.06,3457.4,168.173016
CHG_jobs/astex_1jd0,rmsd56-mmff,nan,1797.407686,-73.687230,1777.475405,3080.1,3462.44,6463.304823
CHG_jobs/astex_1jd0,rmsd56-pm7,nan,1770.694825,-109.574380,1813.302657,3059.03,3457.41,168.078362
CHG_jobs/astex_1jd0,rmsd56-opt,1703.55952412,1810.650623,-109.574340,1813.302426,3059.04,3457.41,168.088500
CHG_jobs/astex_1jd0,rmsd6-mmff,nan,1798.456706,-72.040220,1776.035978,3075.19,3458.83,14.791333
CHG_jobs/astex_1jd0,rmsd9-mmff,nan,1799.004947,-73.202810,1777.074155,3079.23,3462.48,6471.040488
CHG_jobs/astex_1jd0,rmsd9-pm7,nan,1770.695435,-109.574510,1813.302657,3059.06,3457.46,168.194330
CHG_jobs/astex_1jd0,rmsd9-opt,1703.57477051,1809.866636,-109.574520,1813.302657,3059.04,3457.45,168.170626
CHG_jobs/astex_1l7f,rmsd103-mmff,nan,5140.035616,-69.058470,4816.381011,7514.35,8539.23,-208.551111
CHG_jobs/astex_1l7f,rmsd103-pm7,nan,5150.031967,-92.002840,4835.032914,7518.24,8543.63,-200.068553
CHG_jobs/astex_1l7f,rmsd103-opt,4952.70779461,5160.720276,-92.002830,4835.034067,7518.23,8543.62,-200.056425
CHG_jobs/astex_1l7f,rmsd124-mmff,nan,5149.219320,-73.548750,4819.141105,7519.35,8546.01,-221.675564
CHG_jobs/astex_1l7f,rmsd124-pm7,nan,5142.362121,-89.773820,4834.765875,7515.88,8540.97,-196.641782
CHG_jobs/astex_1l7f,rmsd124-opt,4946.29565985,5157.390419,-89.773740,4834.765184,7515.88,8540.97,-196.646348
CHG_jobs/astex_1l7f,rmsd15-mmff,nan,5119.652817,-48.404370,4796.437729,7493.27,8517.38,-180.753084
CHG_jobs/astex_1l7f,rmsd15-pm7,nan,5132.369077,-88.842870,4835.139222,7510.82,8532.32,-186.746542
CHG_jobs/astex_1l7f,rmsd15-opt,4935.94926555,5148.878085,-88.842780,4835.138992,7510.82,8532.32,-186.754259
CHG_jobs/astex_1l7f,rmsd171-mmff,nan,5145.984957,-71.644350,4817.641029,7516.8,8542.88,-216.613547
CHG_jobs/astex_1l7f,rmsd171-pm7,nan,5145.647194,-89.956900,4834.327037,7516.2,8542.95,-199.256731
CHG_jobs/astex_1l7f,rmsd171-opt,4950.48491762,5154.514838,-89.956850,4834.327498,7516.2,8542.95,-199.259711
CHG_jobs/astex_1l7f,rmsd197-mmff,nan,5142.087732,-71.556430,4816.992341,7515.32,8541.32,-209.984583
CHG_jobs/astex_1l7f,rmsd197-pm7,nan,5149.801079,-92.606110,4835.613574,7518.33,8545.03,-201.730093
CHG_jobs/astex_1l7f,rmsd197-opt,4952.4769998,5160.194157,-92.605990,4835.613804,7518.33,8545.03,-201.735212
CHG_jobs/astex_1l7f,rmsd20-mmff,nan,5127.463778,-55.993890,4805.707298,7501.92,8529.16,-192.145468
CHG_jobs/astex_1l7f,rmsd21-mmff,nan,5123.996312,-56.758860,4805.032552,7501.24,8526.53,-191.531388
CHG_jobs/astex_1l7f,rmsd215-mmff,nan,5142.526324,-71.702660,4816.86205,7515.42,8541.46,-210.331748
CHG_jobs/astex_1l7f,rmsd215-pm7,nan,5149.803184,-92.610600,4835.620953,7518.33,8545.0,-201.787455
CHG_jobs/astex_1l7f,rmsd215-opt,4952.43873214,5160.170767,-92.610520,4835.620492,7518.32,8544.99,-201.791000
CHG_jobs/astex_1l7f,rmsd246-mmff,nan,5143.182947,-72.760670,4817.916369,7515.89,8542.04,-210.285436
CHG_jobs/astex_1l7f,rmsd246-pm7,nan,5149.758585,-93.351960,4836.205302,7519.08,8544.91,-199.055591
CHG_jobs/astex_1l7f,rmsd246-opt,4952.4865621,5159.933809,-93.351900,4836.205302,7519.07,8544.89,-199.042698
CHG_jobs/astex_1l7f,rmsd76-mmff,nan,5135.007007,-64.689680,4809.768687,7508.88,8534.51,-204.597448
CHG_jobs/astex_1l7f,rmsd76-pm7,nan,5143.630111,-90.358140,4834.925914,7515.78,8538.84,-196.958874
CHG_jobs/astex_1l7f,rmsd76-opt,4946.8935167,5158.276080,-90.358140,4834.9243,7515.79,8538.85,-196.964222
CHG_jobs/astex_1l7f,rmsd82-mmff,nan,5135.461294,-62.847840,4812.232685,7509.27,8533.42,-201.373365
CHG_jobs/astex_1l7f,rmsd82-pm7,nan,5151.464027,-93.869620,4836.706173,7519.58,8546.4,-202.558133
CHG_jobs/astex_1l7f,rmsd82-opt,nan,5161.826657,-93.869680,4836.706404,7519.57,8546.39,-202.561647
CHG_jobs/astex_1l7f,rmsd97-mmff,nan,5147.800842,-73.714040,4819.42982,7518.75,8545.56,-220.462246
CHG_jobs/astex_1l7f,rmsd97-pm7,nan,5145.169657,-90.512720,4834.557179,7516.03,8543.81,-202.125673
CHG_jobs/astex_1l7f,rmsd97-opt,nan,5156.549641,-90.513040,4834.556257,7516.03,8543.8,-202.123255
CHG_jobs/astex_1lpz,rmsd11-mmff,nan,6195.457074,171.375670,5847.352762,8741.33,10855.35,-15.668122
CHG_jobs/astex_1lpz,rmsd11-pm7,nan,6206.555183,145.546860,5866.053322,8746.65,10862.44,2.833336
CHG_jobs/astex_1lpz,rmsd11-opt,5918.92302397,6216.321877,145.547060,5866.054936,8746.66,10862.45,2.756101
CHG_jobs/astex_1lpz,rmsd111-mmff,nan,6196.592658,171.484240,5844.506423,8741.25,10855.68,-12.538539
CHG_jobs/astex_1lpz,rmsd111-pm7,nan,6206.597673,145.548230,5866.004204,8746.65,10862.45,3.454950
CHG_jobs/astex_1lpz,rmsd111-opt,5918.86794809,6216.717112,145.548430,5866.003281,8746.63,10862.44,3.449630
CHG_jobs/astex_1lpz,rmsd112-mmff,nan,6190.316197,176.524500,5845.000606,8736.84,10850.24,-10.339357
CHG_jobs/astex_1lpz,rmsd112-pm7,nan,6206.690200,145.559830,5865.956469,8746.68,10862.48,3.369035
